Nota_Matematica,IAA,Fase Ideal,Turma,RA,INDE,Nota_Portugues,IDA,IAN,Ano Nascimento,IPV,IPS,Ano ingresso,Pedra,Instituição de ensino,Nome Anonimizado,IEG,Idade,Fase,Defasagem,Gênero,Ano_Referencia
6.2,6.9,Fase 3 (7º e 8º ano),L,RA-605,7.276,8.0,7.1,5.0,2010,7.556,6.9,2021,Ametista,Escola Pública,Aluno-605,9.3,12,1,-2,Feminino,2022
2.0,9.5,Fase 2 (5º e 6º ano),L,RA-606,6.127,1.5,1.8,5.0,2012,6.111,7.5,2022,Ágata,Escola Pública,Aluno-606,9.0,10,1,-1,Masculino,2022
3.0,6.8,Fase 2 (5º e 6º ano),L,RA-607,6.44,5.0,4.0,5.0,2012,7.444,7.5,2022,Ágata,Escola Pública,Aluno-607,8.1,10,1,-1,Masculino,2022
3.0,7.8,Fase 2 (5º e 6º ano),L,RA-608,7.216,9.5,6.3,5.0,2012,7.222,7.5,2022,Ametista,Escola Pública,Aluno-608,9.6,10,1,-1,Masculino,2022
6.5,8.5,Fase 2 (5º e 6º ano),L,RA-609,6.794,5.5,6.0,5.0,2011,7.056,7.5,2019,Ágata,Escola Pública,Aluno-609,7.6,11,1,-1,Masculino,2022
6.0,9.0,Fase 1 (4º ano),L,RA-610,8.18,7.0,6.5,10.0,2013,8.5,7.5,2022,Topázio,Escola Pública,Aluno-610,9.6,9,1,0,Feminino,2022
10.0,9.5,Fase 3 (7º e 8º ano),M,RA-611,7.756,9.0,9.5,5.0,2010,7.556,7.5,2021,Ametista,Escola Pública,Aluno-611,7.6,12,1,-2,Masculino,2022
9.7,9.0,Fase 2 (5º e 6º ano),M,RA-612,7.594,6.2,7.9,5.0,2012,7.167,7.5,2021,Ametista,Escola Pública,Aluno-612,9.2,10,1,-1,Feminino,2022
9.2,9.0,Fase 3 (7º e 8º ano),M,RA-613,8.121,9.2,9.2,5.0,2009,8.556,7.5,2020,Topázio,Escola Pública,Aluno-613,9.2,13,1,-2,Masculino,2022
9.8,9.5,Fase 3 (7º e 8º ano),M,RA-614,8.339,9.3,9.6,5.0,2010,8.278,7.5,2021,Topázio,Escola Pública,Aluno-614,9.7,12,1,-2,Masculino,2022
7.8,9.5,Fase 1 (4º ano),M,RA-615,8.086,6.7,7.3,10.0,2013,6.889,7.5,2020,Topázio,Escola Pública,Aluno-615,9.7,9,1,0,Feminino,2022
9.2,7.4,Fase 3 (7º e 8º ano),M,RA-616,7.303,8.5,8.8,5.0,2010,7.278,7.5,2019,Ametista,Escola Pública,Aluno-616,7.4,12,1,-2,Masculino,2022
4.5,8.5,Fase 2 (5º e 6º ano),M,RA-617,7.107,8.0,6.3,5.0,2011,6.778,7.5,2021,Ametista,Escola Pública,Aluno-617,8.9,11,1,-1,Feminino,2022
6.8,8.9,Fase 3 (7º e 8º ano),M,RA-618,7.18,6.5,6.7,5.0,2009,7.333,7.5,2020,Ametista,Escola Pública,Aluno-618,8.3,13,1,-2,Masculino,2022
9.2,9.5,Fase 2 (5º e 6º ano),M,RA-619,7.693,8.8,9.0,5.0,2011,7.333,7.5,2021,Ametista,Escola Pública,Aluno-619,8.0,11,1,-1,Feminino,2022
8.5,0.0,Fase 3 (7º e 8º ano),M,RA-620,6.018,5.0,6.8,5.0,2010,6.833,7.5,2021,Ágata,Escola Pública,Aluno-620,7.5,12,1,-2,Masculino,2022
6.8,9.5,Fase 2 (5º e 6º ano),M,RA-621,7.448,8.2,7.5,5.0,2012,8.222,7.5,2020,Ametista,Escola Pública,Aluno-621,7.7,10,1,-1,Masculino,2022
4.8,3.5,Fase 3 (7º e 8º ano),N,RA-622,4.934,2.7,3.8,5.0,2010,6.0,7.5,2019,Quartzo,Escola Pública,Aluno-622,3.8,12,1,-2,Feminino,2022
9.3,7.5,Fase 3 (7º e 8º ano),N,RA-623,7.524,7.2,8.3,5.0,2009,7.389,7.5,2022,Ametista,Escola Pública,Aluno-623,9.0,13,1,-2,Masculino,2022
8.0,9.0,Fase 2 (5º e 6º ano),N,RA-624,7.425,5.5,6.8,5.0,2012,7.722,7.5,2022,Ametista,Escola Pública,Aluno-624,8.9,10,1,-1,Masculino,2022
8.5,8.0,Fase 2 (5º e 6º ano),N,RA-625,7.483,7.0,7.8,5.0,2011,7.333,7.5,2022,Ametista,Escola Pública,Aluno-625,9.2,11,1,-1,Masculino,2022
2.5,7.4,Fase 2 (5º e 6º ano),N,RA-626,5.818,0.0,1.3,5.0,2011,7.278,7.5,2021,Quartzo,Escola Pública,Aluno-626,7.6,11,1,-1,Masculino,2022
6.2,7.0,Fase 2 (5º e 6º ano),N,RA-627,6.621,6.8,6.5,5.0,2012,7.0,7.5,2022,Ágata,Escola Pública,Aluno-627,6.7,10,1,-1,Feminino,2022
9.3,9.5,Fase 2 (5º e 6º ano),N,RA-628,7.577,9.0,9.2,5.0,2011,7.333,7.5,2022,Ametista,Escola Pública,Aluno-628,7.6,11,1,-1,Masculino,2022
5.0,9.0,Fase 1 (4º ano),N,RA-629,8.11,9.0,7.0,10.0,2013,7.278,7.5,2022,Topázio,Escola Pública,Aluno-629,10.0,9,1,0,Masculino,2022
6.5,9.5,Fase 1 (4º ano),N,RA-630,8.064,8.0,7.3,10.0,2013,7.278,7.5,2022,Topázio,Escola Pública,Aluno-630,9.2,9,1,0,Masculino,2022
7.3,8.5,Fase 3 (7º e 8º ano),N,RA-631,6.928,6.7,7.0,5.0,2010,7.222,7.5,2022,Ágata,Escola Pública,Aluno-631,6.8,12,1,-2,Masculino,2022
5.5,8.5,Fase 2 (5º e 6º ano),P,RA-632,6.996,7.2,6.3,5.0,2012,6.722,6.9,2022,Ágata,Escola Pública,Aluno-632,9.3,10,1,-1,Feminino,2022
6.8,7.3,Fase 2 (5º e 6º ano),P,RA-633,7.476,8.5,7.7,5.0,2011,7.833,7.5,2020,Ametista,Escola Pública,Aluno-633,8.9,11,1,-1,Feminino,2022
8.0,9.5,Fase 2 (5º e 6º ano),P,RA-634,7.619,5.0,6.5,5.0,2011,8.222,7.5,2022,Ametista,Escola Pública,Aluno-634,9.4,11,1,-1,Feminino,2022
0.5,10.0,Fase 2 (5º e 6º ano),P,RA-635,5.313,2.5,1.5,5.0,2012,6.444,6.9,2022,Quartzo,Escola Pública,Aluno-635,4.9,10,1,-1,Masculino,2022
7.3,8.5,Fase 2 (5º e 6º ano),P,RA-636,7.189,7.3,7.3,5.0,2012,7.389,6.9,2022,Ametista,Escola Pública,Aluno-636,8.0,10,1,-1,Masculino,2022
4.8,8.5,Fase 2 (5º e 6º ano),P,RA-637,7.039,6.8,5.8,5.0,2012,7.0,7.5,2021,Ametista,Escola Pública,Aluno-637,9.0,10,1,-1,Feminino,2022
2.0,8.5,Fase 1 (4º ano),P,RA-638,7.059,5.8,3.9,10.0,2013,6.278,7.5,2020,Ametista,Escola Pública,Aluno-638,9.3,9,1,0,Feminino,2022
3.2,8.5,Fase 2 (5º e 6º ano),P,RA-639,6.613,7.8,5.5,5.0,2012,6.611,7.5,2021,Ágata,Escola Pública,Aluno-639,7.4,10,1,-1,Feminino,2022
2.5,9.0,Fase 2 (5º e 6º ano),P,RA-640,6.73,7.0,4.8,5.0,2011,6.778,7.5,2022,Ágata,Escola Pública,Aluno-640,8.4,11,1,-1,Feminino,2022
4.5,9.0,Fase 1 (4º ano),P,RA-641,7.776,8.5,6.5,10.0,2013,6.778,7.5,2022,Ametista,Escola Pública,Aluno-641,9.3,9,1,0,Feminino,2022
7.0,10.0,Fase 2 (5º e 6º ano),P,RA-642,7.75,7.7,7.3,5.0,2012,7.778,6.9,2021,Ametista,Escola Pública,Aluno-642,9.7,10,1,-1,Feminino,2022
6.3,9.0,Fase 2 (5º e 6º ano),P,RA-643,6.763,6.0,6.2,5.0,2012,6.722,7.5,2022,Ágata,Escola Pública,Aluno-643,8.0,10,1,-1,Masculino,2022
9.7,9.5,Fase 2 (5º e 6º ano),P,RA-644,7.83,8.0,8.8,5.0,2011,8.278,7.5,2021,Ametista,Escola Pública,Aluno-644,8.0,11,1,-1,Feminino,2022
4.0,8.5,Fase 2 (5º e 6º ano),P,RA-645,6.086,0.0,2.0,5.0,2012,6.833,7.5,2022,Ágata,Escola Pública,Aluno-645,8.1,10,1,-1,Feminino,2022
8.8,8.5,Fase 3 (7º e 8º ano),R,RA-646,8.181,8.0,8.4,5.0,2009,8.389,8.1,2019,Topázio,Escola Pública,Aluno-646,9.8,13,1,-2,Masculino,2022
1.5,9.5,Fase 2 (5º e 6º ano),R,RA-647,6.606,5.2,3.3,5.0,2012,7.278,7.5,2022,Ágata,Escola Pública,Aluno-647,8.6,10,1,-1,Masculino,2022
5.0,9.0,Fase 3 (7º e 8º ano),R,RA-648,6.736,5.5,5.3,5.0,2010,7.5,6.9,2019,Ágata,Escola Pública,Aluno-648,7.5,12,1,-2,Masculino,2022
6.3,8.5,Fase 3 (7º e 8º ano),R,RA-649,7.302,8.5,7.4,5.0,2010,7.611,5.6,2019,Ametista,Escola Pública,Aluno-649,8.9,12,1,-2,Feminino,2022
5.5,6.9,Fase 2 (5º e 6º ano),R,RA-650,7.004,8.3,6.9,5.0,2011,7.5,5.6,2021,Ágata,Escola Pública,Aluno-650,8.7,11,1,-1,Feminino,2022
7.7,8.5,Fase 2 (5º e 6º ano),R,RA-651,7.866,7.8,7.8,5.0,2012,8.333,7.5,2022,Ametista,Escola Pública,Aluno-651,9.3,10,1,-1,Feminino,2022
7.0,8.0,Fase 1 (4º ano),R,RA-652,8.151,8.5,7.8,10.0,2013,7.5,7.5,2022,Topázio,Escola Pública,Aluno-652,9.6,9,1,0,Feminino,2022
9.5,9.5,Fase 2 (5º e 6º ano),R,RA-653,8.101,9.0,9.3,5.0,2011,7.5,7.5,2022,Topázio,Escola Pública,Aluno-653,9.6,11,1,-1,Feminino,2022
5.5,8.5,Fase 3 (7º e 8º ano),R,RA-654,7.308,8.0,6.8,5.0,2010,7.556,7.5,2022,Ametista,Escola Pública,Aluno-654,8.6,12,1,-2,Feminino,2022
8.3,7.5,Fase 3 (7º e 8º ano),R,RA-655,7.785,8.2,8.3,5.0,2010,8.389,7.5,2019,Ametista,Escola Pública,Aluno-655,9.2,12,1,-2,Feminino,2022
5.0,7.4,Fase 2 (5º e 6º ano),R,RA-656,6.652,7.5,6.3,5.0,2011,7.5,5.6,2020,Ágata,Escola Pública,Aluno-656,7.5,11,1,-1,Feminino,2022
9.0,9.5,Fase 3 (7º e 8º ano),R,RA-657,8.093,9.0,9.0,5.0,2010,7.5,7.5,2021,Topázio,Escola Pública,Aluno-657,9.8,12,1,-2,Feminino,2022
4.7,10.0,Fase 2 (5º e 6º ano),U,RA-658,7.407,6.5,5.6,5.0,2012,7.917,7.5,2022,Ametista,Escola Pública,Aluno-658,9.3,10,1,-1,Feminino,2022
9.5,8.0,Fase 2 (5º e 6º ano),U,RA-659,7.783,9.0,9.3,5.0,2012,8.333,7.5,2022,Ametista,Escola Pública,Aluno-659,7.8,10,1,-1,Feminino,2022
5.8,9.5,Fase 1 (4º ano),U,RA-660,8.363,8.0,6.9,10.0,2013,9.083,7.5,2021,Topázio,Escola Pública,Aluno-660,9.0,9,1,0,Feminino,2022
8.3,9.0,Fase 2 (5º e 6º ano),U,RA-661,7.593,7.3,7.8,5.0,2011,7.917,7.5,2022,Ametista,Escola Pública,Aluno-661,8.3,11,1,-1,Masculino,2022
5.7,9.0,Fase 2 (5º e 6º ano),U,RA-662,7.044,7.8,6.8,5.0,2011,6.083,7.5,2022,Ametista,Escola Pública,Aluno-662,8.8,11,1,-1,Feminino,2022
5.0,6.9,Fase 2 (5º e 6º ano),U,RA-663,6.376,6.5,5.8,5.0,2012,5.25,7.5,2022,Ágata,Escola Pública,Aluno-663,8.7,10,1,-1,Masculino,2022
5.0,9.5,Fase 2 (5º e 6º ano),U,RA-664,7.277,7.5,6.3,5.0,2012,7.167,7.5,2022,Ametista,Escola Pública,Aluno-664,8.8,10,1,-1,Feminino,2022
6.5,9.0,Fase 2 (5º e 6º ano),U,RA-665,6.996,7.0,6.8,5.0,2011,7.25,7.5,2022,Ágata,Escola Pública,Aluno-665,7.4,11,1,-1,Feminino,2022
8.0,9.5,Fase 2 (5º e 6º ano),U,RA-666,7.929,7.5,7.8,5.0,2012,8.833,7.5,2022,Ametista,Escola Pública,Aluno-666,9.1,10,1,-1,Masculino,2022
3.7,8.5,Fase 2 (5º e 6º ano),U,RA-667,5.844,5.3,4.5,5.0,2011,5.833,7.5,2021,Quartzo,Escola Pública,Aluno-667,5.6,11,1,-1,Masculino,2022
2.8,6.9,Fase 2 (5º e 6º ano),U,RA-668,4.365,2.8,2.8,5.0,2011,3.75,7.5,2022,Quartzo,Escola Pública,Aluno-668,3.3,11,1,-1,Masculino,2022
5.0,9.0,Fase 2 (5º e 6º ano),U,RA-669,7.475,7.0,6.0,5.0,2011,7.833,7.5,2022,Ametista,Escola Pública,Aluno-669,9.7,11,1,-1,Masculino,2022
6.5,8.0,Fase 2 (5º e 6º ano),U,RA-670,7.451,7.3,6.9,5.0,2012,8.167,7.5,2022,Ametista,Escola Pública,Aluno-670,8.8,10,1,-1,Feminino,2022
8.8,8.5,Fase 1 (4º ano),A,RA-671,7.617,8.8,8.8,5.0,2013,7.417,8.1,2021,Ametista,Escola Pública,Aluno-671,8.2,9,0,-1,Masculino,2022
8.5,8.5,Fase 1 (4º ano),A,RA-672,7.48,9.1,8.8,5.0,2013,6.75,8.1,2021,Ametista,Escola Pública,Aluno-672,8.5,9,0,-1,Feminino,2022
9.4,8.5,ALFA  (2º e 3º ano),A,RA-673,8.65,8.9,9.2,10.0,2014,8.583,8.1,2022,Topázio,Escola Pública,Aluno-673,9.2,8,0,0,Feminino,2022
8.9,9.5,ALFA  (2º e 3º ano),A,RA-674,7.862,7.0,8.0,10.0,2014,6.333,8.1,2022,Ametista,Escola Pública,Aluno-674,8.7,8,0,0,Masculino,2022
8.8,10.0,ALFA  (2º e 3º ano),A,RA-675,7.576,5.9,7.4,10.0,2014,7.083,8.1,2022,Ametista,Escola Pública,Aluno-675,6.6,8,0,0,Masculino,2022
9.5,8.5,Fase 1 (4º ano),A,RA-676,7.911,9.1,9.3,5.0,2013,8.167,8.1,2021,Ametista,Escola Pública,Aluno-676,8.6,9,0,-1,Masculino,2022
7.7,10.0,ALFA  (2º e 3º ano),B,RA-677,8.358,6.8,7.3,10.0,2014,8.583,7.5,2021,Topázio,Escola Pública,Aluno-677,9.4,8,0,0,Feminino,2022
7.5,9.0,Fase 1 (4º ano),B,RA-678,8.0,7.0,7.3,5.0,2013,9.5,6.9,2022,Ametista,Escola Pública,Aluno-678,10.0,9,0,-1,Masculino,2022
6.7,9.0,Fase 2 (5º e 6º ano),B,RA-679,7.172,5.8,6.3,5.0,2012,7.833,7.5,2020,Ametista,Escola Pública,Aluno-679,8.2,10,0,-2,Masculino,2022
8.0,9.5,Fase 2 (5º e 6º ano),B,RA-680,7.518,6.8,7.4,5.0,2012,7.75,7.5,2019,Ametista,Escola Pública,Aluno-680,8.8,10,0,-2,Feminino,2022
6.5,8.5,Fase 2 (5º e 6º ano),B,RA-681,7.204,6.5,6.5,5.0,2012,8.0,6.9,2022,Ametista,Escola Pública,Aluno-681,8.5,10,0,-2,Masculino,2022
7.0,9.5,Fase 2 (5º e 6º ano),B,RA-682,7.625,7.0,7.0,5.0,2011,8.083,7.5,2022,Ametista,Escola Pública,Aluno-682,9.1,11,0,-2,Masculino,2022
8.0,7.9,Fase 2 (5º e 6º ano),C,RA-683,6.011,0.0,4.0,5.0,2012,8.083,7.5,2022,Ágata,Escola Pública,Aluno-683,5.0,10,0,-2,Masculino,2022
9.0,9.5,ALFA  (2º e 3º ano),C,RA-684,8.26,9.6,9.3,10.0,2015,7.917,8.1,2022,Topázio,Escola Pública,Aluno-684,7.5,7,0,0,Masculino,2022
8.0,9.0,Fase 1 (4º ano),C,RA-685,6.864,8.0,8.0,5.0,2013,7.833,5.0,2022,Ágata,Escola Pública,Aluno-685,6.2,9,0,-1,Masculino,2022
9.2,7.5,Fase 1 (4º ano),D,RA-686,7.729,8.5,8.8,5.0,2013,8.083,8.1,2022,Ametista,Escola Pública,Aluno-686,8.6,9,0,-1,Feminino,2022
9.0,8.5,Fase 1 (4º ano),D,RA-687,7.703,7.5,8.3,5.0,2013,8.0,8.1,2022,Ametista,Escola Pública,Aluno-687,9.0,9,0,-1,Masculino,2022
8.0,8.5,Fase 1 (4º ano),D,RA-688,7.771,7.8,7.9,5.0,2013,7.917,7.5,2022,Ametista,Escola Pública,Aluno-688,9.7,9,0,-1,Masculino,2022
6.0,7.4,Fase 1 (4º ano),D,RA-689,6.433,5.5,5.8,5.0,2013,6.667,5.6,2022,Ágata,Escola Pública,Aluno-689,7.9,9,0,-1,Feminino,2022
7.2,9.5,Fase 1 (4º ano),D,RA-690,7.541,6.8,7.0,5.0,2013,7.417,7.5,2022,Ametista,Escola Pública,Aluno-690,9.5,9,0,-1,Feminino,2022
9.6,10.0,ALFA  (2º e 3º ano),D,RA-691,8.68,9.3,9.4,10.0,2014,7.917,8.1,2022,Topázio,Escola Pública,Aluno-691,9.2,8,0,0,Feminino,2022
7.0,9.5,Fase 1 (4º ano),D,RA-692,7.569,6.8,6.9,5.0,2013,7.917,8.1,2021,Ametista,Escola Pública,Aluno-692,8.9,9,0,-1,Feminino,2022
5.0,9.5,ALFA  (2º e 3º ano),D,RA-693,7.944,6.3,5.7,10.0,2015,7.667,8.1,2022,Ametista,Escola Pública,Aluno-693,9.8,7,0,0,Feminino,2022
8.2,10.0,ALFA  (2º e 3º ano),D,RA-694,8.378,8.0,8.1,10.0,2014,7.917,8.1,2022,Topázio,Escola Pública,Aluno-694,9.0,8,0,0,Masculino,2022
2.2,9.0,ALFA  (2º e 3º ano),E,RA-695,4.28,2.8,2.5,10.0,2014,2.5,7.5,2021,Quartzo,Escola Pública,Aluno-695,3.1,8,0,0,Feminino,2022
6.5,8.5,Fase 1 (4º ano),E,RA-696,7.441,6.7,6.6,5.0,2013,8.167,7.5,2021,Ametista,Escola Pública,Aluno-696,9.0,9,0,-1,Feminino,2022
8.8,7.0,Fase 2 (5º e 6º ano),E,RA-697,7.675,8.0,8.4,5.0,2011,8.083,7.5,2021,Ametista,Escola Pública,Aluno-697,9.3,11,0,-2,Masculino,2022
8.0,9.0,Fase 1 (4º ano),E,RA-698,7.44,8.2,8.1,5.0,2013,8.083,2.5,2021,Ametista,Escola Pública,Aluno-698,9.8,9,0,-1,Masculino,2022
7.5,5.2,Fase 1 (4º ano),E,RA-699,6.658,6.7,7.1,5.0,2013,6.0,7.5,2022,Ágata,Escola Pública,Aluno-699,9.2,9,0,-1,Masculino,2022
