IDA,Ano Nascimento,IPV,Pedra,Nota_Matematica,IAA,IAN,Gênero,Fase Ideal,Fase,Idade,Nota_Portugues,INDE,RA,Defasagem,IPS,IEG,Ano ingresso,Turma,Instituição de ensino,Nome Anonimizado,Ano_Referencia
4.8,2005,6.0,Quartzo,9.0,0.0,5.0,Menina,Fase 7 (3º EM),6,17,1.6,4.952,RA-33,-1,7.5,4.6,2020,A,Escola Pública,Aluno-33,2022
3.8,2005,7.278,Ágata,4.7,9.6,5.0,Menino,Fase 7 (3º EM),6,17,4.0,6.259,RA-34,-1,8.1,4.8,2016,A,Rede Decisão,Aluno-34,2022
8.5,2005,10.0,Topázio,9.0,10.0,5.0,Menina,Fase 7 (3º EM),6,17,7.1,8.965,RA-35,-1,9.4,9.6,2019,A,Rede Decisão,Aluno-35,2022
6.8,2005,8.944,Ametista,8.5,9.2,5.0,Menina,Fase 7 (3º EM),6,17,4.3,7.876,RA-36,-1,6.9,9.0,2019,A,Rede Decisão,Aluno-36,2022
5.9,2005,5.222,Quartzo,2.3,0.0,5.0,Menina,Fase 7 (3º EM),6,17,5.3,4.95,RA-37,-1,5.0,5.4,2019,A,Rede Decisão,Aluno-37,2022
8.6,2005,9.833,Topázio,9.0,9.2,5.0,Menina,Fase 7 (3º EM),6,17,7.0,8.523,RA-38,-1,7.5,8.9,2017,A,Rede Decisão,Aluno-38,2022
6.9,2006,6.111,Ágata,7.7,0.0,10.0,Menina,Fase 6 (2º EM),6,16,5.1,6.033,RA-39,0,6.9,4.8,2017,A,Rede Decisão,Aluno-39,2022
6.8,2006,7.75,Ametista,4.7,7.9,5.0,Menina,Fase 6 (2º EM),5,16,7.3,7.203,RA-40,-1,7.5,7.8,2016,A,Rede Decisão,Aluno-40,2022
5.6,2005,4.375,Quartzo,6.3,9.2,5.0,Menino,Fase 7 (3º EM),5,17,2.5,5.581,RA-41,-2,5.0,6.1,2018,A,Escola Pública,Aluno-41,2022
4.8,2007,6.083,Ágata,3.7,8.3,10.0,Menino,Fase 5 (1º EM),5,15,4.5,6.72,RA-42,0,5.6,7.9,2019,A,Rede Decisão,Aluno-42,2022
4.3,2006,5.958,Quartzo,4.0,6.3,5.0,Menina,Fase 6 (2º EM),5,16,5.8,5.486,RA-43,-1,5.6,6.5,2019,A,Escola Pública,Aluno-43,2022
3.0,2005,7.292,Quartzo,2.3,5.0,5.0,Menina,Fase 7 (3º EM),5,17,3.5,5.542,RA-44,-2,7.5,5.9,2021,A,Escola Pública,Aluno-44,2022
6.8,2007,7.417,Ametista,6.3,7.9,10.0,Menina,Fase 5 (1º EM),5,15,5.2,7.591,RA-45,0,5.6,8.9,2019,A,Rede Decisão,Aluno-45,2022
2.1,2005,7.083,Ágata,2.8,8.8,5.0,Menina,Fase 7 (3º EM),5,17,2.8,6.048,RA-46,-2,6.3,8.4,2022,A,Escola Pública,Aluno-46,2022
2.1,2005,7.042,Quartzo,2.5,7.9,5.0,Menina,Fase 7 (3º EM),5,17,2.2,5.677,RA-47,-2,7.5,6.3,2022,A,Escola Pública,Aluno-47,2022
8.1,2007,8.5,Ametista,6.7,6.7,10.0,Menina,Fase 5 (1º EM),5,15,8.0,8.006,RA-48,0,7.5,8.4,2017,A,Rede Decisão,Aluno-48,2022
3.9,2005,7.042,Ágata,1.5,7.5,5.0,Menina,Fase 7 (3º EM),5,17,4.2,6.304,RA-49,-2,7.5,7.4,2022,A,Escola Pública,Aluno-49,2022
7.8,2004,7.542,Ametista,6.5,7.5,2.5,Menina,Fase 8 (Universitários),5,18,7.3,7.138,RA-50,-3,7.5,8.4,2022,A,Escola Pública,Aluno-50,2022
5.0,2005,6.5,Ágata,4.5,8.8,5.0,Menina,Fase 7 (3º EM),5,17,4.5,6.488,RA-51,-2,7.5,7.6,2022,B,Escola Pública,Aluno-51,2022
6.2,2009,7.5,Ametista,3.3,9.6,10.0,Menino,Fase 3 (7º e 8º ano),5,13,6.3,7.861,RA-52,2,7.5,8.9,2018,B,Rede Decisão,Aluno-52,2022
7.0,2005,6.458,Ágata,6.0,9.2,5.0,Menino,Fase 7 (3º EM),5,17,8.0,6.725,RA-53,-2,7.5,7.0,2022,B,Escola Pública,Aluno-53,2022
4.8,2006,6.125,Ágata,3.0,7.9,5.0,Menina,Fase 6 (2º EM),5,16,6.5,6.058,RA-54,-1,7.5,6.9,2022,B,Escola Pública,Aluno-54,2022
7.5,2006,6.5,Ágata,6.7,7.1,5.0,Menina,Fase 6 (2º EM),5,16,7.8,6.576,RA-55,-1,5.6,7.6,2017,B,Escola Pública,Aluno-55,2022
7.0,2007,8.25,Topázio,4.5,10.0,10.0,Menina,Fase 5 (1º EM),5,15,6.5,8.404,RA-56,0,7.5,10.0,2019,B,Rede Decisão,Aluno-56,2022
8.4,2006,7.875,Ametista,9.0,7.1,5.0,Menino,Fase 6 (2º EM),5,16,7.0,7.305,RA-57,-1,5.6,8.1,2017,B,Rede Decisão,Aluno-57,2022
7.2,2007,8.125,Topázio,4.5,9.6,10.0,Menino,Fase 5 (1º EM),5,15,8.0,8.136,RA-58,0,6.3,9.2,2017,B,Rede Decisão,Aluno-58,2022
7.2,2005,7.917,Ametista,7.0,9.2,5.0,Menino,Fase 7 (3º EM),5,17,5.7,7.642,RA-59,-2,7.5,9.3,2022,B,Escola Pública,Aluno-59,2022
