modelo,principal_recall_risco,principal_precision_risco,principal_f1_risco,principal_pr_auc,principal_brier_score,sem_fase_idade_recall_risco,sem_fase_idade_precision_risco,sem_fase_idade_f1_risco,sem_fase_idade_pr_auc,sem_fase_idade_brier_score,delta_recall_risco,delta_precision_risco,delta_f1_risco,delta_pr_auc,delta_brier_score
LogisticRegression,0.521311475409836,0.8412698412698413,0.6437246963562753,0.8088322758650561,0.17883147918312686,0.26885245901639343,0.7592592592592593,0.39709443099273606,0.6738484369214848,0.2276341412253817,-0.2524590163934426,-0.08201058201058198,-0.24663026536353921,-0.13498383894357135,0.048802662042254835
RandomForestClassifier,0.6754098360655738,0.7463768115942029,0.7091222030981067,0.7997253321312612,0.17289430391591615,0.4786885245901639,0.6790697674418604,0.5615384615384615,0.6907945872590933,0.2092985139406718,-0.1967213114754099,-0.06730704415234245,-0.14758374155964515,-0.10893074487216792,0.03640421002475566
GradientBoostingClassifier,0.6688524590163935,0.7259786476868327,0.6962457337883959,0.7805254363558654,0.17814743189119048,0.6065573770491803,0.5623100303951368,0.583596214511041,0.620368657688874,0.2307895609048475,-0.06229508196721312,-0.1636686172916959,-0.11264951927735489,-0.1601567786669914,0.05264212901365703
DecisionTreeClassifier,0.5639344262295082,0.7782805429864253,0.6539923954372624,0.7469019222754226,0.1851814315781678,0.24918032786885247,0.6972477064220184,0.3671497584541063,0.6157231480836404,0.2299017201321741,-0.3147540983606557,-0.08103283656440696,-0.2868426369831561,-0.13117877419178225,0.04472028855400631
DummyClassifier,1.0,0.4498525073746313,0.6205493387589013,0.4498525073746313,0.28179731271977493,1.0,0.4498525073746313,0.6205493387589013,0.4498525073746313,0.28179731271977493,0.0,0.0,0.0,0.0,0.0
