"modelo","baseline_pr_auc","tuned_pr_auc","delta_pr_auc","baseline_recall","tuned_recall","delta_recall","baseline_precision","tuned_precision","delta_precision","baseline_f1","tuned_f1","delta_f1","baseline_brier","tuned_brier","delta_brier","baseline_falsos_positivos","tuned_falsos_positivos","delta_falsos_positivos","baseline_falsos_negativos","tuned_falsos_negativos","delta_falsos_negativos","tuned_pr_auc_cv","tuned_desvio_pr_auc_cv","tuned_gap_treino_validacao_pr_auc","delta_pr_auc_teste_menos_cv","alteracao_complexidade"
"LogisticRegression","0.8088322758650561","0.8126047876994676","0.0037725118344115183","0.521311475409836","0.8622950819672132","0.34098360655737714","0.8412698412698413","0.6291866028708134","-0.21208323839902787","0.6437246963562753","0.7275242047026279","0.08379950834635264","0.17883147918312686","0.19019006269189204","0.011358583508765174","30","155","125","146","42","-104","0.9194891675203405","0.012552707339918515","0.010856351884284354","-0.10688437982087284","complexidade estrutural equivalente (C=1 e solver lbfgs); muda apenas o custo da classe 1 de balanced para 3,0"
"RandomForestClassifier","0.7997253321312612","0.7707122693735907","-0.02901306275767046","0.6754098360655738","0.740983606557377","0.06557377049180324","0.7463768115942029","0.6869300911854104","-0.05944672040879251","0.7091222030981067","0.7129337539432177","0.003811550845110978","0.17289430391591615","0.1791403484220239","0.006246044506107745","70","103","33","99","79","-20","0.8684867692139877","0.025307412428432978","0.08595827618617424","-0.09777449984039699","mais regularizado em profundidade/folhas/split (8→6, 5→10, 2→10), mesmas 300 árvores e maior fração de features por split"
"GradientBoostingClassifier","0.7805254363558654","0.7576194080712577","-0.022906028284607638","0.6688524590163935","0.7049180327868853","0.0360655737704918","0.7259786476868327","0.6005586592178771","-0.12541998846895563","0.6962457337883959","0.6485671191553545","-0.04767861463304146","0.17814743189119048","0.2006521412235744","0.02250470933238391","77","143","66","101","90","-11","0.8793334103000767","0.026181590585493103","0.04042496668107698","-0.12171400222881901","mais raso e regularizado (profundidade 3→1, folha mínima 1→20), mesmos 150 estágios e learning_rate 0,05→0,1"
"DecisionTreeClassifier","0.7469019222754226","0.6765032708987422","-0.07039865137668044","0.5639344262295082","0.8065573770491803","0.2426229508196721","0.7782805429864253","0.49101796407185627","-0.2872625789145691","0.6539923954372624","0.6104218362282878","-0.04357055920897457","0.1851814315781678","0.2398634270578044","0.05468199547963659","49","255","206","133","59","-74","0.83514080491979","0.03879205582388223","0.06342394156341802","-0.15863753402104785","complexidade mista: mantém profundidade 5, reduz folha mínima de 15 para 10 e aumenta min_samples_split de 2 para 30"
