modelo,recall_risco,precision_risco,f1_risco,pr_auc,brier_score
LogisticRegression,0.521311475409836,0.8412698412698413,0.6437246963562753,0.8088322758650561,0.17883147918312686
RandomForestClassifier,0.6754098360655738,0.7463768115942029,0.7091222030981067,0.7997253321312612,0.17289430391591615
GradientBoostingClassifier,0.6688524590163935,0.7259786476868327,0.6962457337883959,0.7805254363558654,0.17814743189119048
DecisionTreeClassifier,0.5639344262295082,0.7782805429864253,0.6539923954372624,0.7469019222754226,0.1851814315781678
DummyClassifier,1.0,0.4498525073746313,0.6205493387589013,0.4498525073746313,0.28179731271977493
