modelo,posicao_pr_auc,parametros,class_weight,selecionada_por_parcimonia,media_cv_pr_auc,desvio_cv_pr_auc,media_cv_recall,desvio_cv_recall,media_cv_precision,desvio_cv_precision,media_cv_f1,desvio_cv_f1,media_cv_brier,media_treino_pr_auc,gap_treino_validacao_pr_auc,tempo_medio_ajuste
DecisionTreeClassifier,1,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}",None,False,0.8486345613959057,0.029846533986337447,0.8536910197869103,0.04037701337791761,0.7920681236921646,0.04765662445960693,0.8200067220683959,0.022672926232227605,0.17310619249385276,0.9354748911948058,0.0868403297989001,0.04530916213989258
DecisionTreeClassifier,2,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}",None,False,0.8483987213187081,0.02986923664263047,0.8536910197869103,0.04037701337791761,0.7920681236921646,0.04765662445960693,0.8200067220683959,0.022672926232227605,0.17277508394680816,0.9349642738029684,0.08656555248426034,0.04893946647644043
DecisionTreeClassifier,3,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 1.5}",False,0.8462721304595444,0.03197934288430832,0.8869482496194825,0.04077052836796676,0.7710557512528936,0.04040245704698306,0.8234063014216806,0.019351289456658153,0.18093080231509248,0.9348785284889949,0.08860639802945047,0.06586055755615235
DecisionTreeClassifier,4,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 2.0}",False,0.8450537386965769,0.029885808257862977,0.9173135464231355,0.03211274666164126,0.7404781020532119,0.05801825037823102,0.8171031798328758,0.026739789030205185,0.18869142467433286,0.9336356822852936,0.08858194358871674,0.061841487884521484
DecisionTreeClassifier,5,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 2.0}",False,0.8446360339629727,0.03010230422571687,0.9062024353120244,0.024769029823995103,0.7488344768611995,0.04746232499893618,0.8187467340188028,0.024550864582592254,0.19017398026967042,0.9351180681760447,0.090482034213072,0.05804996490478516
DecisionTreeClassifier,6,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 2}",None,False,0.8442851412709429,0.036158506388709974,0.8259893455098934,0.023974897814807362,0.8004695100194402,0.04231347064837229,0.811766492136033,0.013145878952131559,0.17605269521334654,0.9459107336796453,0.10162559240870239,0.05026931762695312
DecisionTreeClassifier,6,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 10}",None,False,0.8442851412709429,0.036158506388709974,0.8259893455098934,0.023974897814807362,0.8004695100194402,0.04231347064837229,0.811766492136033,0.013145878952131559,0.17605269521334654,0.9459107336796453,0.10162559240870239,0.049563026428222655
DecisionTreeClassifier,8,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 2}",None,False,0.8439316788317914,0.03538461013075515,0.8259893455098934,0.023974897814807362,0.796954272599171,0.04707290222875432,0.8097282755755234,0.01540768505245914,0.179614067195294,0.9477231441849666,0.10379146535317518,0.04678525924682617
DecisionTreeClassifier,8,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 10}",None,False,0.8439316788317914,0.03538461013075515,0.8259893455098934,0.023974897814807362,0.796954272599171,0.04707290222875432,0.8097282755755234,0.01540768505245914,0.179614067195294,0.9477231441849666,0.10379146535317518,0.04713845252990723
DecisionTreeClassifier,10,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 1.5}",False,0.8436918201935081,0.029628301088803797,0.8758371385083713,0.02386897463771493,0.7799505007134545,0.0297744048261001,0.8246496539795414,0.019069645632618266,0.18390010181147293,0.9361495847310941,0.09245776453758603,0.05063261985778809
GradientBoostingClassifier,1,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 100, ""subsample"": 1.0}",não aplicável,False,0.8919619695141267,0.018624903847967132,0.8866438356164383,0.024229554765917174,0.7971798863460281,0.02854446789543621,0.8392335677167624,0.021853754703734938,0.15318907018640332,0.9652714565169227,0.07330948700279605,0.4350914001464844
GradientBoostingClassifier,2,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 150, ""subsample"": 1.0}",não aplicável,False,0.8900019643208761,0.02098624496280405,0.8978310502283104,0.010670785538101126,0.8003737189632869,0.03640040497184986,0.84564534934549,0.01687313544160711,0.15680788367238077,0.95774880684139,0.06774684252051388,0.8980935096740723
GradientBoostingClassifier,3,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 100, ""subsample"": 1.0}",não aplicável,False,0.8896412071322499,0.018326629240541,0.8811643835616438,0.016984726036179638,0.804345037678371,0.030252155941950232,0.8406999785991269,0.019938353912036615,0.1538870397252155,0.9679901317195242,0.07834892458727427,0.44138503074645996
GradientBoostingClassifier,4,"{""learning_rate"": 0.1, ""max_depth"": 1, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""subsample"": 1.0}",não aplicável,False,0.8895026611775275,0.02788813848679905,0.8977929984779299,0.01868468811788715,0.784707482227293,0.03553503846337432,0.8368777493091345,0.021297323200213273,0.15895595903406454,0.9356471918601027,0.04614453068257518,0.7705748558044434
GradientBoostingClassifier,5,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""subsample"": 0.7}",não aplicável,False,0.8890913014737315,0.020560501388925935,0.88675799086758,0.023784444351696472,0.8050803516471753,0.01714739652178297,0.8435519305927768,0.008549315451263957,0.15112251130286153,0.9885348210893028,0.0994435196155713,1.367542839050293
GradientBoostingClassifier,6,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150, ""subsample"": 1.0}",não aplicável,False,0.8890332434715658,0.02251691845819132,0.8700532724505328,0.02305195012307601,0.7977508871812669,0.029326003931279546,0.8322757703575954,0.02601931609844306,0.15486259467165225,0.9716781955429739,0.0826449520714081,0.6468281269073486
GradientBoostingClassifier,7,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""subsample"": 1.0}",não aplicável,False,0.8889862037130767,0.021640211427823037,0.9006468797564688,0.01546250095185675,0.8005064628779,0.03145154001605213,0.8470235066507229,0.013420941846318965,0.15699183071421846,0.9577083195593522,0.06872211584627552,1.1400764465332032
