persona,IAA,IEG,IPS,IPP,IDA,IPV,IAN
Acompanhamento multidimensional — Perfil 1,8.00,6.57,6.69,6.85,4.60,6.40,6.84
Desenvolvimento em consolidação — Perfil 2,8.86,8.97,6.91,7.95,7.36,7.91,7.82
