modelo,parametros_selecionados,class_weight_selecionado,indice_configuracao_selecionada,posicao_pr_auc,media_cv_pr_auc,desvio_cv_pr_auc,media_cv_recall,desvio_cv_recall,media_cv_precision,desvio_cv_precision,media_cv_f1,desvio_cv_f1,media_cv_brier,desvio_cv_brier,media_treino_pr_auc,gap_treino_validacao_pr_auc,maior_pr_auc_media_familia,delta_para_maior_pr_auc,configuracoes_compativeis,refit_adicional_parcimonia,criterio_selecao
LogisticRegression,"{""C"": 1.0, ""class_weight"": {""0"": 1, ""1"": 3.0}, ""solver"": ""lbfgs""}","{""0"": 1, ""1"": 3.0}",29,22,0.9194891675203405,0.012552707339918515,0.9779299847792998,0.014030728374771017,0.7184126413024311,0.01751227116160726,0.8281290604847575,0.011621666273329586,0.17583529422486444,0.00986544644000832,0.9303455194046248,0.010856351884284354,0.9297004804192243,0.010211312898883773,22,True,"PR-AUC compatível por diferença <0,01 ou erro-padrão combinado dos 5 folds; desempate por simplicidade, gap, estabilidade e PR-AUC"
DecisionTreeClassifier,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 1.5}",158,21,0.83514080491979,0.03879205582388223,0.9256088280060883,0.06337827167878572,0.7389257544242833,0.02688055480971987,0.8204264243586017,0.029827957443383884,0.173221403890955,0.02627271521728121,0.898564746483208,0.06342394156341802,0.8486345613959057,0.013493756476115615,86,True,"PR-AUC compatível por diferença <0,01 ou erro-padrão combinado dos 5 folds; desempate por simplicidade, gap, estabilidade e PR-AUC"
RandomForestClassifier,"{""class_weight"": null, ""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""min_samples_split"": 10, ""n_estimators"": 300}",None,22,272,0.8684867692139877,0.025307412428432978,0.8840563165905632,0.013371062387116118,0.7674457336440005,0.03644705696093378,0.8211504567871293,0.022936291587375108,0.17214124177678566,0.012162521170877088,0.954445045400162,0.08595827618617424,0.8797983478011473,0.011311578587159588,368,True,"PR-AUC compatível por diferença <0,01 ou erro-padrão combinado dos 5 folds; desempate por simplicidade, gap, estabilidade e PR-AUC"
GradientBoostingClassifier,"{""learning_rate"": 0.1, ""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150, ""subsample"": 1.0}",não aplicável,123,60,0.8793334103000767,0.026181590585493103,0.8672754946727549,0.036969503109802626,0.7586672137880528,0.028895729492606756,0.809128940447151,0.02998532563824885,0.17001337231515207,0.008441483121795669,0.9197583769811537,0.04042496668107698,0.8919619695141267,0.012628559214049928,60,True,"PR-AUC compatível por diferença <0,01 ou erro-padrão combinado dos 5 folds; desempate por simplicidade, gap, estabilidade e PR-AUC"
