modelo,class_weight,quantidade_configuracoes,melhor_pr_auc_media,pr_auc_media_configuracoes,recall_medio,precision_media,f1_medio,brier_medio,estabilidade_pr_auc_desvio_medio,melhor_estabilidade_pr_auc
DecisionTreeClassifier,None,72,0.8486345613959057,0.8113035020973987,0.8008804752240826,0.7896392856463051,0.791172076826086,0.18850656384818995,0.030065892393822815,0.011498792481481819
DecisionTreeClassifier,"{""0"": 1, ""1"": 1.5}",72,0.8462721304595444,0.8105468685007888,0.9052627684762388,0.7347883017934895,0.8080647331098445,0.19167698691219867,0.032283011138770454,0.015213373599267341
DecisionTreeClassifier,"{""0"": 1, ""1"": 2.0}",72,0.8450537386965769,0.809295898662462,0.9295345002536783,0.7173335205307283,0.8077446750148757,0.19765886571582636,0.030576581337268267,0.011743692872473788
DecisionTreeClassifier,"{""0"": 1, ""1"": 3.0}",72,0.8416556829417605,0.8048930115425009,0.9528855910705225,0.7002851220482706,0.8061051768367892,0.213333820089323,0.03154768780172111,0.01228797141496381
DecisionTreeClassifier,balanced,72,0.8359150643745259,0.8079392227004961,0.699258519364113,0.8157655353353249,0.7501452916043827,0.20392095237826802,0.031072406294081596,0.012031714669947487
GradientBoostingClassifier,não aplicável,162,0.8919619695141267,0.8730973913536274,0.8870088505552737,0.7708384402677126,0.8234844597187838,0.1673642141917134,0.02212478107548818,0.011499826882821477
LogisticRegression,"{""0"": 1, ""1"": 3.0}",10,0.9297004804192243,0.8972349126313833,0.976841704718417,0.7055813419087202,0.8176717703699075,0.1869261647368199,0.016337844664474167,0.012506220079841684
LogisticRegression,"{""0"": 1, ""1"": 2.0}",10,0.929347466865616,0.8956126288614913,0.9619596651445967,0.7233918684518882,0.8236226125067818,0.17123176656488873,0.016459741565145816,0.013285174777537889
LogisticRegression,"{""0"": 1, ""1"": 1.5}",10,0.9291898566122306,0.8941892228677336,0.9376217656012177,0.7390223119786425,0.8241656669126731,0.16364743387941455,0.0166051084869108,0.01410903897911612
LogisticRegression,None,10,0.9288610788636443,0.8919143722061962,0.8875989345509894,0.7731052050541621,0.8241990194362598,0.1598003766567776,0.016713611809049414,0.013730384999304353
LogisticRegression,balanced,10,0.9287410802176332,0.891813108646762,0.753089802130898,0.8450644089771837,0.7950794339601532,0.16791744507844164,0.017285469489233613,0.014719344841729282
RandomForestClassifier,"{""0"": 1, ""1"": 2.0}",72,0.8797983478011473,0.8714958147263624,0.960537163876205,0.7195492809637893,0.8218452398854434,0.17891131617904943,0.024207174375181818,0.017659479128313275
RandomForestClassifier,"{""0"": 1, ""1"": 3.0}",72,0.879059582915209,0.8697741210604009,0.9770611364789448,0.6980422165923158,0.8133905655385782,0.18953699167210974,0.02473914055266589,0.018496372978808986
RandomForestClassifier,None,72,0.8785978345641977,0.8697680780845035,0.8993314518856756,0.762005806928852,0.8244991872777273,0.17037131985988385,0.024072044759298656,0.019002402658591645
RandomForestClassifier,balanced,72,0.8785183325502942,0.868556591741463,0.8092756426517842,0.8029608699435602,0.8052774997516368,0.17413674848491348,0.022500916853640567,0.017711166460264844
RandomForestClassifier,balanced_subsample,72,0.8783610190406849,0.8681893206790499,0.8059667258582784,0.8033942674573341,0.8038433657474662,0.17430415755335887,0.022708137259955796,0.017823833967284052
RandomForestClassifier,"{""0"": 1, ""1"": 1.5}",72,0.878293054194056,0.8712813364709923,0.9433710679857941,0.7382439591331075,0.827533461973235,0.1737169991463242,0.024376834537221177,0.01754995686454505
