modelo,indice_configuracao,posicao_pr_auc,parametros,class_weight,tempo_medio_ajuste,desvio_tempo_ajuste,media_cv_pr_auc,desvio_cv_pr_auc,media_treino_pr_auc,gap_treino_validacao_pr_auc,media_cv_recall,desvio_cv_recall,media_treino_recall,gap_treino_validacao_recall,media_cv_precision,desvio_cv_precision,media_treino_precision,gap_treino_validacao_precision,media_cv_f1,desvio_cv_f1,media_treino_f1,gap_treino_validacao_f1,media_cv_brier,desvio_cv_brier,media_treino_brier,gap_treino_validacao_brier,param_C,param_class_weight,param_solver,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_max_features,param_n_estimators,param_learning_rate,param_subsample
DecisionTreeClassifier,32,1,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}",None,0.04530916213989258,0.004262524239341442,0.8486345613959057,0.029846533986337447,0.9354748911948058,0.0868403297989001,0.8536910197869103,0.04037701337791761,0.8867271208686315,0.03303610108172117,0.7920681236921646,0.04765662445960693,0.845245835771985,0.05317771207982036,0.8200067220683959,0.022672926232227605,0.8648201423599982,0.04481342029160229,0.17310619249385276,0.017486243710880707,0.12014475721880749,-0.052961435275045265,,None,,gini,None,10,30,,,,
DecisionTreeClassifier,23,2,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}",None,0.04893946647644043,0.00512011440141623,0.8483987213187081,0.02986923664263047,0.9349642738029684,0.08656555248426034,0.8536910197869103,0.04037701337791761,0.8867271208686315,0.03303610108172117,0.7920681236921646,0.04765662445960693,0.845245835771985,0.05317771207982036,0.8200067220683959,0.022672926232227605,0.8648201423599982,0.04481342029160229,0.17277508394680816,0.017222994745945935,0.12104104549891173,-0.051734038447896424,,None,,gini,8,10,30,,,,
DecisionTreeClassifier,167,3,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 1.5}",0.06586055755615235,0.01573296317295473,0.8462721304595444,0.03197934288430832,0.9348785284889949,0.08860639802945047,0.8869482496194825,0.04077052836796676,0.924705882352941,0.03775763273345856,0.7710557512528936,0.04040245704698306,0.8152614419848329,0.04420569073193925,0.8234063014216806,0.019351289456658153,0.8659729815449762,0.042566680123295564,0.18093080231509248,0.02701069818672207,0.12542992907219588,-0.0555008732428966,,"{""0"": 1, ""1"": 1.5}",,gini,8,10,30,,,,
DecisionTreeClassifier,239,4,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 2.0}",0.061841487884521484,0.034219688185372375,0.8450537386965769,0.029885808257862977,0.9336356822852936,0.08858194358871674,0.9173135464231355,0.03211274666164126,0.9461186015988545,0.028805055175719074,0.7404781020532119,0.05801825037823102,0.787529332965307,0.04705123091209518,0.8171031798328758,0.026739789030205185,0.8587302719312409,0.041627092098365015,0.18869142467433286,0.02892344114077525,0.13393793839390364,-0.054753486280429225,,"{""0"": 1, ""1"": 2.0}",,gini,8,10,30,,,,
DecisionTreeClassifier,248,5,"{""class_weight"": {""0"": 1, ""1"": 2.0}, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 2.0}",0.05804996490478516,0.013702835576346552,0.8446360339629727,0.03010230422571687,0.9351180681760447,0.090482034213072,0.9062024353120244,0.024769029823995103,0.9392220498747166,0.0330196145626922,0.7488344768611995,0.04746232499893618,0.7988544298645318,0.050019953003332285,0.8187467340188028,0.024550864582592254,0.8630174973101173,0.04427076329131452,0.19017398026967042,0.030283125310782418,0.13225771822266424,-0.05791626204700617,,"{""0"": 1, ""1"": 2.0}",,gini,None,10,30,,,,
DecisionTreeClassifier,21,6,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 2}",None,0.05026931762695312,0.005837723344279693,0.8442851412709429,0.036158506388709974,0.9459107336796453,0.10162559240870239,0.8259893455098934,0.023974897814807362,0.8777472855267867,0.05175794001689327,0.8004695100194402,0.04231347064837229,0.8612676671853228,0.06079815716588255,0.811766492136033,0.013145878952131559,0.8689317127338793,0.057165220597846234,0.17605269521334654,0.016666213770633646,0.11370579208766265,-0.06234690312568389,,None,,gini,8,10,2,,,,
DecisionTreeClassifier,22,6,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": 8, ""min_samples_leaf"": 10, ""min_samples_split"": 10}",None,0.049563026428222655,0.00584206347147608,0.8442851412709429,0.036158506388709974,0.9459107336796453,0.10162559240870239,0.8259893455098934,0.023974897814807362,0.8777472855267867,0.05175794001689327,0.8004695100194402,0.04231347064837229,0.8612676671853228,0.06079815716588255,0.811766492136033,0.013145878952131559,0.8689317127338793,0.057165220597846234,0.17605269521334654,0.016666213770633646,0.11370579208766265,-0.06234690312568389,,None,,gini,8,10,10,,,,
DecisionTreeClassifier,30,8,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 2}",None,0.04678525924682617,0.007104309175776307,0.8439316788317914,0.03538461013075515,0.9477231441849666,0.10379146535317518,0.8259893455098934,0.023974897814807362,0.8832645269060972,0.0572751813962038,0.796954272599171,0.04707290222875432,0.8587395308066401,0.06178525820746916,0.8097282755755234,0.01540768505245914,0.8701478211868299,0.06041954561130647,0.179614067195294,0.016880633928545424,0.11135731729563203,-0.06825674989966196,,None,,gini,None,10,2,,,,
DecisionTreeClassifier,31,8,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 10}",None,0.04713845252990723,0.007795583796747136,0.8439316788317914,0.03538461013075515,0.9477231441849666,0.10379146535317518,0.8259893455098934,0.023974897814807362,0.8832645269060972,0.0572751813962038,0.796954272599171,0.04707290222875432,0.8587395308066401,0.06178525820746916,0.8097282755755234,0.01540768505245914,0.8701478211868299,0.06041954561130647,0.179614067195294,0.016880633928545424,0.11135731729563203,-0.06825674989966196,,None,,gini,None,10,10,,,,
DecisionTreeClassifier,176,10,"{""class_weight"": {""0"": 1, ""1"": 1.5}, ""criterion"": ""gini"", ""max_depth"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 30}","{""0"": 1, ""1"": 1.5}",0.05063261985778809,0.005786986534576504,0.8436918201935081,0.029628301088803797,0.9361495847310941,0.09245776453758603,0.8758371385083713,0.02386897463771493,0.9171196754563894,0.04128253694801809,0.7799505007134545,0.0297744048261001,0.827978755630939,0.048028254917484525,0.8246496539795414,0.019069645632618266,0.8702493383603576,0.045599684380816186,0.18390010181147293,0.025708852449828165,0.12381841841265769,-0.06008168339881524,,"{""0"": 1, ""1"": 1.5}",,gini,None,10,30,,,,
